delivery_date,hour_ending,HHI,Pivotal
11/10/2020,14,968.0881151,0
11/10/2020,15,965.8986093,0
11/10/2020,16,965.4130191,0
11/10/2020,17,1073.318258,0
11/10/2020,18,1075.381299,0
11/10/2020,19,1069.128226,0
11/10/2020,20,1013.206995,0
11/10/2020,21,975.9088069,0
11/10/2020,22,934.5833605,0
11/10/2020,23,949.3104767,0
11/10/2020,24,917.8237045,0
11/11/2020,1,948.0578458,0
11/11/2020,2,954.5598164,0
11/11/2020,3,955.4927817,0
11/11/2020,4,953.8125129,0
11/11/2020,5,957.1194192,0
11/11/2020,6,945.3067559,0
11/11/2020,7,1001.056291,0
11/11/2020,8,1002.389346,0
11/11/2020,9,1080.411677,0
11/11/2020,10,1063.826345,0
11/11/2020,11,1008.868426,0
11/11/2020,12,954.9754756,0
11/11/2020,13,956.6786514,0
11/11/2020,14,1023.246115,0
11/11/2020,15,1056.586503,0
11/11/2020,16,1055.431165,0
11/11/2020,17,1053.014469,0
11/11/2020,18,1056.374573,0
11/11/2020,19,1048.309223,0
11/11/2020,20,1049.960189,0
11/11/2020,21,1007.207858,0
11/11/2020,22,983.6154726,0
11/11/2020,23,936.0645015,0
11/11/2020,24,935.2592661,0
11/12/2020,1,802.2841197,0
11/12/2020,2,802.2587558,0
11/12/2020,3,802.2535421,0
11/12/2020,4,801.8943184,0
11/12/2020,5,801.9072219,0
11/12/2020,6,802.5881875,0
11/12/2020,7,853.1177001,0
11/12/2020,8,853.121834,0
11/12/2020,9,852.0318738,0
11/12/2020,10,848.0199938,0
11/12/2020,11,844.8287456,0
11/12/2020,12,841.0025533,0
11/12/2020,13,855.6939717,0
11/12/2020,14,950.8080277,0
11/12/2020,15,947.916248,0
11/12/2020,16,978.776949,0
11/12/2020,17,979.0110209,0
11/12/2020,18,946.5830126,0
11/12/2020,19,925.7621525,0
11/12/2020,20,845.0724122,0
11/12/2020,21,847.9902224,0
11/12/2020,22,844.7546883,0
11/12/2020,23,830.1331202,0
